id               ip_address       mac_address      Platform       
gi 1/0/1         100.100.10.101   845A3EC22539     Cisco IP Phone 9861
gi 1/0/2         100.100.10.87    F8C65049533C     Cisco IP Phone 9851
gi 1/0/3         100.100.10.100   845A3EC22E33     Cisco IP Phone 9871
gi 1/0/4         100.100.10.86    F8C650498D6A     Cisco IP Phone 9841
gi 1/0/5         100.100.30.185   D0DC2CBAFBED     Cisco IP Phone 8875
gi 1/0/6         100.100.10.102   845A3EC23452     Cisco IP Phone 9871NR
gi 1/0/7         100.100.10.92    F8C65049765C     Cisco IP Phone 9841
gi 1/0/8         0                0                0              
gi 1/0/9         0                0                0              
gi 1/0/10        10.74.19.102                      cisco WS-C3850-48T
